04/16-14:46:30.611213 ,"ICMP connection attempt",192.168.1.10,,172.16.115.20,,14717
04/16-15:18:21.158162 ,"TELNET connection attempt",172.16.113.207,64405,206.79.229.16,80,711
04/16-15:18:21.175634 ,"TELNET connection attempt",172.16.113.207,64405,206.79.229.16,80,713
04/16-15:18:21.176020 ,"TELNET connection attempt",172.16.113.207,64405,206.79.229.16,80,714
04/16-15:18:21.180939 ,"TELNET connection attempt",172.16.113.207,64406,199.95.209.99,80,718
04/16-15:18:21.183791 ,"TELNET connection attempt",172.16.113.207,64406,199.95.209.99,80,719
04/16-15:18:21.184107 ,"TELNET connection attempt",172.16.113.207,64406,199.95.209.99,80,720
04/16-15:18:21.201178 ,"TELNET connection attempt",172.16.113.207,64406,199.95.209.99,80,723
04/16-15:18:21.201543 ,"TELNET connection attempt",172.16.113.207,64406,199.95.209.99,80,724
04/16-15:18:21.206529 ,"TELNET connection attempt",172.16.113.207,64407,199.95.209.99,80,728
04/16-15:18:21.208827 ,"TELNET connection attempt",172.16.113.207,64407,199.95.209.99,80,729
04/16-15:18:21.209179 ,"TELNET connection attempt",172.16.113.207,64407,199.95.209.99,80,730
04/16-15:18:21.226340 ,"TELNET connection attempt",172.16.113.207,64407,199.95.209.99,80,732
04/16-15:18:21.226706 ,"TELNET connection attempt",172.16.113.207,64407,199.95.209.99,80,733
04/16-15:18:21.231248 ,"TELNET connection attempt",172.16.113.207,64408,206.79.229.45,80,737
04/16-15:18:21.234501 ,"TELNET connection attempt",172.16.113.207,64408,206.79.229.45,80,738
04/16-15:18:21.235030 ,"TELNET connection attempt",172.16.113.207,64408,206.79.229.45,80,739
04/16-15:18:21.262542 ,"TELNET connection attempt",172.16.113.207,64408,206.79.229.45,80,743
04/16-15:18:21.268723 ,"TELNET connection attempt",172.16.113.207,64408,206.79.229.45,80,745
04/16-15:18:21.269084 ,"TELNET connection attempt",172.16.113.207,64408,206.79.229.45,80,746
04/16-15:18:21.275093 ,"TELNET connection attempt",172.16.113.207,64409,206.79.229.45,80,750
04/16-15:18:21.279808 ,"TELNET connection attempt",172.16.113.207,64409,206.79.229.45,80,751
04/16-15:18:21.280329 ,"TELNET connection attempt",172.16.113.207,64409,206.79.229.45,80,752
04/16-15:18:21.299364 ,"TELNET connection attempt",172.16.113.207,64409,206.79.229.45,80,755
04/16-15:18:21.299742 ,"TELNET connection attempt",172.16.113.207,64409,206.79.229.45,80,756
04/16-15:18:21.306201 ,"TELNET connection attempt",172.16.113.207,64410,206.79.229.45,80,760
04/16-15:18:21.310957 ,"TELNET connection attempt",172.16.113.207,64410,206.79.229.45,80,761
04/16-15:18:21.311492 ,"TELNET connection attempt",172.16.113.207,64410,206.79.229.45,80,762
04/16-15:18:21.342564 ,"TELNET connection attempt",172.16.113.207,64410,206.79.229.45,80,766
04/16-15:18:21.352525 ,"TELNET connection attempt",172.16.113.207,64410,206.79.229.45,80,770
04/16-15:18:21.357442 ,"TELNET connection attempt",172.16.113.207,64410,206.79.229.45,80,771
04/16-15:18:21.357829 ,"TELNET connection attempt",172.16.113.207,64410,206.79.229.45,80,772
04/16-15:18:21.366275 ,"TELNET connection attempt",172.16.113.207,64411,206.79.229.16,80,776
04/16-15:18:21.370940 ,"TELNET connection attempt",172.16.113.207,64411,206.79.229.16,80,777
04/16-15:18:21.371248 ,"TELNET connection attempt",172.16.113.207,64411,206.79.229.16,80,778
04/16-15:18:21.389696 ,"TELNET connection attempt",172.16.113.207,64411,206.79.229.16,80,782
04/16-15:18:21.390070 ,"TELNET connection attempt",172.16.113.207,64411,206.79.229.16,80,783
04/16-15:18:21.398162 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,788
04/16-15:18:21.402805 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,789
04/16-15:18:21.403131 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,790
04/16-15:18:21.432545 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,795
04/16-15:18:21.442543 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,799
04/16-15:18:21.452543 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,803
04/16-15:18:21.456352 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,804
04/16-15:18:21.456733 ,"TELNET connection attempt",172.16.113.207,64412,206.79.229.16,80,805
04/16-15:18:41.570593 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35244
04/16-15:18:41.571541 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35245
04/16-15:18:41.572224 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35246
04/16-15:18:41.626661 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35249
04/16-15:18:41.636655 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35250
04/16-15:18:41.646682 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35251
04/16-15:18:41.651260 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35252
04/16-15:18:41.651922 ,"TELNET connection attempt",135.8.60.182,4180,172.16.112.100,80,35253
04/16-15:18:41.776386 ,"TELNET connection attempt",135.8.60.182,4162,172.16.112.100,80,35255
04/16-15:18:41.776666 ,"TELNET connection attempt",135.8.60.182,4181,172.16.112.100,80,35256
04/16-15:18:41.778009 ,"TELNET connection attempt",135.8.60.182,4181,172.16.112.100,80,35258
04/16-15:18:41.779073 ,"TELNET connection attempt",135.8.60.182,4181,172.16.112.100,80,35259
04/16-15:18:41.782271 ,"TELNET connection attempt",135.8.60.182,4181,172.16.112.100,80,35260
04/16-15:18:41.785163 ,"TELNET connection attempt",135.8.60.182,4181,172.16.112.100,80,35262
04/16-15:18:41.785406 ,"TELNET connection attempt",135.8.60.182,4182,172.16.112.100,80,35263
04/16-15:18:41.786434 ,"TELNET connection attempt",135.8.60.182,4182,172.16.112.100,80,35264
04/16-15:18:41.787274 ,"TELNET connection attempt",135.8.60.182,4182,172.16.112.100,80,35265
04/16-15:18:41.790147 ,"TELNET connection attempt",135.8.60.182,4182,172.16.112.100,80,35266
04/16-15:18:41.793135 ,"TELNET connection attempt",135.8.60.182,4182,172.16.112.100,80,35268
04/16-15:18:41.793374 ,"TELNET connection attempt",135.8.60.182,4184,172.16.112.100,80,35269
04/16-15:18:41.794372 ,"TELNET connection attempt",135.8.60.182,4184,172.16.112.100,80,35270
04/16-15:18:41.795232 ,"TELNET connection attempt",135.8.60.182,4184,172.16.112.100,80,35271
04/16-15:18:41.798185 ,"TELNET connection attempt",135.8.60.182,4184,172.16.112.100,80,35273
04/16-15:18:43.406984 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,1119
04/16-15:18:43.409153 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,1121
04/16-15:18:43.484025 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,1134
04/16-15:18:43.684004 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,1136
04/16-15:18:44.215269 ,"ICMP connection attempt",172.16.114.1,,172.16.114.10,,42737
04/16-15:18:51.944634 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,1308
04/16-15:18:52.083511 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,1318
04/16-15:18:59.571815 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1519
04/16-15:18:59.577083 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1520
04/16-15:18:59.577401 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1521
04/16-15:18:59.622955 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1525
04/16-15:18:59.632979 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1529
04/16-15:18:59.643261 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1535
04/16-15:18:59.653428 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1538
04/16-15:18:59.663648 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1542
04/16-15:18:59.673764 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1545
04/16-15:18:59.685205 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1548
04/16-15:18:59.698001 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1551
04/16-15:18:59.703013 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1554
04/16-15:18:59.706127 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1555
04/16-15:18:59.706548 ,"TELNET connection attempt",172.16.115.87,64420,206.132.15.69,80,1556
04/16-15:19:00.455440 ,"TELNET connection attempt",172.16.115.87,64421,199.95.209.99,80,1638
04/16-15:19:00.459663 ,"TELNET connection attempt",172.16.115.87,64421,199.95.209.99,80,1639
04/16-15:19:00.460062 ,"TELNET connection attempt",172.16.115.87,64421,199.95.209.99,80,1640
04/16-15:19:00.478170 ,"TELNET connection attempt",172.16.115.87,64421,199.95.209.99,80,1644
04/16-15:19:00.478579 ,"TELNET connection attempt",172.16.115.87,64421,199.95.209.99,80,1645
04/16-15:19:00.483819 ,"TELNET connection attempt",172.16.115.87,64422,199.95.209.99,80,1650
04/16-15:19:00.485831 ,"TELNET connection attempt",172.16.115.87,64422,199.95.209.99,80,1651
04/16-15:19:00.486232 ,"TELNET connection attempt",172.16.115.87,64422,199.95.209.99,80,1652
04/16-15:19:00.502927 ,"TELNET connection attempt",172.16.115.87,64422,199.95.209.99,80,1654
04/16-15:19:00.503278 ,"TELNET connection attempt",172.16.115.87,64422,199.95.209.99,80,1655
04/16-15:19:00.508270 ,"TELNET connection attempt",172.16.115.87,64423,199.95.209.99,80,1659
04/16-15:19:00.510577 ,"TELNET connection attempt",172.16.115.87,64423,199.95.209.99,80,1662
04/16-15:19:00.510994 ,"TELNET connection attempt",172.16.115.87,64423,199.95.209.99,80,1663
04/16-15:19:00.527794 ,"TELNET connection attempt",172.16.115.87,64423,199.95.209.99,80,1666
04/16-15:19:00.528176 ,"TELNET connection attempt",172.16.115.87,64423,199.95.209.99,80,1667
04/16-15:19:00.533629 ,"TELNET connection attempt",172.16.115.87,64424,199.95.209.99,80,1671
04/16-15:19:00.537837 ,"TELNET connection attempt",172.16.115.87,64424,199.95.209.99,80,1672
04/16-15:19:00.538233 ,"TELNET connection attempt",172.16.115.87,64424,199.95.209.99,80,1673
04/16-15:19:00.555507 ,"TELNET connection attempt",172.16.115.87,64424,199.95.209.99,80,1675
04/16-15:19:00.555900 ,"TELNET connection attempt",172.16.115.87,64424,199.95.209.99,80,1676
04/16-15:19:00.570066 ,"TELNET connection attempt",172.16.115.87,64425,206.132.15.69,80,1680
04/16-15:19:00.575234 ,"TELNET connection attempt",172.16.115.87,64425,206.132.15.69,80,1681
04/16-15:19:00.575582 ,"TELNET connection attempt",172.16.115.87,64425,206.132.15.69,80,1682
04/16-15:19:00.594934 ,"TELNET connection attempt",172.16.115.87,64425,206.132.15.69,80,1684
04/16-15:19:00.595311 ,"TELNET connection attempt",172.16.115.87,64425,206.132.15.69,80,1685
04/16-15:19:00.601591 ,"TELNET connection attempt",172.16.115.87,64426,206.132.15.69,80,1689
04/16-15:19:00.604647 ,"TELNET connection attempt",172.16.115.87,64426,206.132.15.69,80,1690
04/16-15:19:00.604991 ,"TELNET connection attempt",172.16.115.87,64426,206.132.15.69,80,1691
04/16-15:19:00.625976 ,"TELNET connection attempt",172.16.115.87,64426,206.132.15.69,80,1693
04/16-15:19:00.626378 ,"TELNET connection attempt",172.16.115.87,64426,206.132.15.69,80,1694
04/16-15:19:00.634044 ,"TELNET connection attempt",172.16.115.87,64427,206.132.15.69,80,1700
04/16-15:19:00.639230 ,"TELNET connection attempt",172.16.115.87,64427,206.132.15.69,80,1701
04/16-15:19:00.639636 ,"TELNET connection attempt",172.16.115.87,64427,206.132.15.69,80,1702
04/16-15:19:00.658205 ,"TELNET connection attempt",172.16.115.87,64427,206.132.15.69,80,1705
04/16-15:19:00.658862 ,"TELNET connection attempt",172.16.115.87,64427,206.132.15.69,80,1706
04/16-15:19:00.665634 ,"TELNET connection attempt",172.16.115.87,64428,199.95.209.99,80,1710
04/16-15:19:00.669863 ,"TELNET connection attempt",172.16.115.87,64428,199.95.209.99,80,1711
04/16-15:19:00.670256 ,"TELNET connection attempt",172.16.115.87,64428,199.95.209.99,80,1712
04/16-15:19:00.687696 ,"TELNET connection attempt",172.16.115.87,64428,199.95.209.99,80,1715
04/16-15:19:00.688073 ,"TELNET connection attempt",172.16.115.87,64428,199.95.209.99,80,1716
04/16-15:19:00.694444 ,"TELNET connection attempt",172.16.115.87,64429,206.132.15.69,80,1720
04/16-15:19:00.699643 ,"TELNET connection attempt",172.16.115.87,64429,206.132.15.69,80,1722
04/16-15:19:00.700053 ,"TELNET connection attempt",172.16.115.87,64429,206.132.15.69,80,1723
04/16-15:19:00.720022 ,"TELNET connection attempt",172.16.115.87,64429,206.132.15.69,80,1726
04/16-15:19:00.720380 ,"TELNET connection attempt",172.16.115.87,64429,206.132.15.69,80,1727
04/16-15:19:00.739997 ,"TELNET connection attempt",172.16.115.87,64430,205.181.112.74,80,1731
04/16-15:19:00.746232 ,"TELNET connection attempt",172.16.115.87,64430,205.181.112.74,80,1732
04/16-15:19:00.746582 ,"TELNET connection attempt",172.16.115.87,64430,205.181.112.74,80,1733
04/16-15:19:00.764514 ,"TELNET connection attempt",172.16.115.87,64430,205.181.112.74,80,1735
04/16-15:19:00.765414 ,"TELNET connection attempt",172.16.115.87,64430,205.181.112.74,80,1736
04/16-15:19:00.790393 ,"TELNET connection attempt",172.16.115.87,64431,206.132.15.69,80,1740
04/16-15:19:00.795598 ,"TELNET connection attempt",172.16.115.87,64431,206.132.15.69,80,1741
04/16-15:19:00.795951 ,"TELNET connection attempt",172.16.115.87,64431,206.132.15.69,80,1742
04/16-15:19:00.823035 ,"TELNET connection attempt",172.16.115.87,64431,206.132.15.69,80,1745
04/16-15:19:00.832990 ,"TELNET connection attempt",172.16.115.87,64431,206.132.15.69,80,1749
04/16-15:19:00.841030 ,"TELNET connection attempt",172.16.115.87,64431,206.132.15.69,80,1751
04/16-15:19:00.841450 ,"TELNET connection attempt",172.16.115.87,64431,206.132.15.69,80,1752
04/16-15:19:00.852115 ,"TELNET connection attempt",172.16.115.87,64432,206.132.15.69,80,1757
04/16-15:19:00.857356 ,"TELNET connection attempt",172.16.115.87,64432,206.132.15.69,80,1758
04/16-15:19:00.857700 ,"TELNET connection attempt",172.16.115.87,64432,206.132.15.69,80,1759
04/16-15:19:00.876752 ,"TELNET connection attempt",172.16.115.87,64432,206.132.15.69,80,1761
04/16-15:19:00.877138 ,"TELNET connection attempt",172.16.115.87,64432,206.132.15.69,80,1762
04/16-15:19:00.884384 ,"TELNET connection attempt",172.16.115.87,64433,206.132.15.69,80,1766
04/16-15:19:00.889590 ,"TELNET connection attempt",172.16.115.87,64433,206.132.15.69,80,1767
04/16-15:19:00.889948 ,"TELNET connection attempt",172.16.115.87,64433,206.132.15.69,80,1768
04/16-15:19:00.910196 ,"TELNET connection attempt",172.16.115.87,64433,206.132.15.69,80,1770
04/16-15:19:00.910569 ,"TELNET connection attempt",172.16.115.87,64433,206.132.15.69,80,1771
04/16-15:19:00.919029 ,"TELNET connection attempt",172.16.115.87,64434,199.95.209.99,80,1775
04/16-15:19:00.923253 ,"TELNET connection attempt",172.16.115.87,64434,199.95.209.99,80,1776
04/16-15:19:00.923641 ,"TELNET connection attempt",172.16.115.87,64434,199.95.209.99,80,1777
04/16-15:19:00.941428 ,"TELNET connection attempt",172.16.115.87,64434,199.95.209.99,80,1780
04/16-15:19:00.941804 ,"TELNET connection attempt",172.16.115.87,64434,199.95.209.99,80,1781
04/16-15:19:00.949578 ,"TELNET connection attempt",172.16.115.87,64435,206.132.15.69,80,1787
04/16-15:19:00.954793 ,"TELNET connection attempt",172.16.115.87,64435,206.132.15.69,80,1788
04/16-15:19:00.955176 ,"TELNET connection attempt",172.16.115.87,64435,206.132.15.69,80,1789
04/16-15:19:00.975334 ,"TELNET connection attempt",172.16.115.87,64435,206.132.15.69,80,1792
04/16-15:19:00.975720 ,"TELNET connection attempt",172.16.115.87,64435,206.132.15.69,80,1793
04/16-15:19:00.984684 ,"TELNET connection attempt",172.16.115.87,64436,199.95.209.99,80,1797
04/16-15:19:00.988879 ,"TELNET connection attempt",172.16.115.87,64436,199.95.209.99,80,1798
04/16-15:19:00.989294 ,"TELNET connection attempt",172.16.115.87,64436,199.95.209.99,80,1799
04/16-15:19:01.006663 ,"TELNET connection attempt",172.16.115.87,64436,199.95.209.99,80,1801
04/16-15:19:01.007046 ,"TELNET connection attempt",172.16.115.87,64436,199.95.209.99,80,1802
04/16-15:19:01.015280 ,"TELNET connection attempt",172.16.115.87,64437,199.95.209.99,80,1806
04/16-15:19:01.019514 ,"TELNET connection attempt",172.16.115.87,64437,199.95.209.99,80,1807
04/16-15:19:01.019905 ,"TELNET connection attempt",172.16.115.87,64437,199.95.209.99,80,1808
04/16-15:19:01.037244 ,"TELNET connection attempt",172.16.115.87,64437,199.95.209.99,80,1810
04/16-15:19:01.037618 ,"TELNET connection attempt",172.16.115.87,64437,199.95.209.99,80,1811
04/16-15:19:01.046043 ,"TELNET connection attempt",172.16.115.87,64438,206.132.15.69,80,1816
04/16-15:19:01.051249 ,"TELNET connection attempt",172.16.115.87,64438,206.132.15.69,80,1819
04/16-15:19:01.051600 ,"TELNET connection attempt",172.16.115.87,64438,206.132.15.69,80,1820
04/16-15:19:01.073754 ,"TELNET connection attempt",172.16.115.87,64438,206.132.15.69,80,1824
04/16-15:19:01.074113 ,"TELNET connection attempt",172.16.115.87,64438,206.132.15.69,80,1825
04/16-15:19:01.084140 ,"TELNET connection attempt",172.16.115.87,64439,199.95.209.99,80,1829
04/16-15:19:01.088355 ,"TELNET connection attempt",172.16.115.87,64439,199.95.209.99,80,1830
04/16-15:19:01.088736 ,"TELNET connection attempt",172.16.115.87,64439,199.95.209.99,80,1831
04/16-15:19:01.106325 ,"TELNET connection attempt",172.16.115.87,64439,199.95.209.99,80,1833
04/16-15:19:01.106698 ,"TELNET connection attempt",172.16.115.87,64439,199.95.209.99,80,1834
04/16-15:19:01.116176 ,"TELNET connection attempt",172.16.115.87,64440,199.95.209.99,80,1838
04/16-15:19:01.120394 ,"TELNET connection attempt",172.16.115.87,64440,199.95.209.99,80,1839
04/16-15:19:01.120779 ,"TELNET connection attempt",172.16.115.87,64440,199.95.209.99,80,1840
04/16-15:19:01.138199 ,"TELNET connection attempt",172.16.115.87,64440,199.95.209.99,80,1842
04/16-15:19:01.138585 ,"TELNET connection attempt",172.16.115.87,64440,199.95.209.99,80,1843
04/16-15:19:01.147891 ,"TELNET connection attempt",172.16.115.87,64441,199.95.209.99,80,1847
04/16-15:19:01.152104 ,"TELNET connection attempt",172.16.115.87,64441,199.95.209.99,80,1848
04/16-15:19:01.152492 ,"TELNET connection attempt",172.16.115.87,64441,199.95.209.99,80,1849
04/16-15:19:01.160864 ,"TELNET connection attempt",172.16.115.87,64441,199.95.209.99,80,1851
04/16-15:19:01.161509 ,"TELNET connection attempt",172.16.115.87,64441,199.95.209.99,80,1852
04/16-15:19:01.171141 ,"TELNET connection attempt",172.16.115.87,64442,199.95.209.99,80,1856
04/16-15:19:01.175254 ,"TELNET connection attempt",172.16.115.87,64442,199.95.209.99,80,1857
04/16-15:19:01.175681 ,"TELNET connection attempt",172.16.115.87,64442,199.95.209.99,80,1858
04/16-15:19:01.192614 ,"TELNET connection attempt",172.16.115.87,64442,199.95.209.99,80,1860
04/16-15:19:01.192979 ,"TELNET connection attempt",172.16.115.87,64442,199.95.209.99,80,1861
04/16-15:19:01.202825 ,"TELNET connection attempt",172.16.115.87,64443,206.132.15.69,80,1865
04/16-15:19:01.208028 ,"TELNET connection attempt",172.16.115.87,64443,206.132.15.69,80,1866
04/16-15:19:01.208408 ,"TELNET connection attempt",172.16.115.87,64443,206.132.15.69,80,1867
04/16-15:19:01.228639 ,"TELNET connection attempt",172.16.115.87,64443,206.132.15.69,80,1869
04/16-15:19:01.229003 ,"TELNET connection attempt",172.16.115.87,64443,206.132.15.69,80,1870
04/16-15:19:09.131300 ,"TELNET connection attempt",135.8.60.182,4187,172.16.112.100,80,35648
04/16-15:19:09.132226 ,"TELNET connection attempt",135.8.60.182,4187,172.16.112.100,80,35649
04/16-15:19:09.132898 ,"TELNET connection attempt",135.8.60.182,4187,172.16.112.100,80,35650
04/16-15:19:09.159222 ,"TELNET connection attempt",135.8.60.182,4187,172.16.112.100,80,35652
04/16-15:19:09.160135 ,"TELNET connection attempt",135.8.60.182,4187,172.16.112.100,80,35653
04/16-15:19:09.165750 ,"TELNET connection attempt",135.8.60.182,4184,172.16.112.100,80,35655
04/16-15:19:09.165994 ,"TELNET connection attempt",135.8.60.182,4188,172.16.112.100,80,35656
04/16-15:19:09.166981 ,"TELNET connection attempt",135.8.60.182,4188,172.16.112.100,80,35657
04/16-15:19:09.167841 ,"TELNET connection attempt",135.8.60.182,4188,172.16.112.100,80,35658
04/16-15:19:09.182988 ,"TELNET connection attempt",135.8.60.182,4188,172.16.112.100,80,35659
04/16-15:19:09.183414 ,"TELNET connection attempt",135.8.60.182,4188,172.16.112.100,80,35660
04/16-15:19:11.429636 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2063
04/16-15:19:11.434549 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2065
04/16-15:19:11.434859 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2066
04/16-15:19:11.482402 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2071
04/16-15:19:11.483113 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2072
04/16-15:19:11.493156 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2076
04/16-15:19:11.503112 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2080
04/16-15:19:11.513857 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2083
04/16-15:19:11.517734 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2084
04/16-15:19:11.518182 ,"TELNET connection attempt",172.16.113.207,64446,206.79.229.16,80,2085
04/16-15:19:11.647133 ,"TELNET connection attempt",172.16.113.207,64447,206.79.229.45,80,2092
04/16-15:19:11.651861 ,"TELNET connection attempt",172.16.113.207,64447,206.79.229.45,80,2093
04/16-15:19:11.652332 ,"TELNET connection attempt",172.16.113.207,64447,206.79.229.45,80,2094
04/16-15:19:11.703132 ,"TELNET connection attempt",172.16.113.207,64447,206.79.229.45,80,2102
04/16-15:19:11.713121 ,"TELNET connection attempt",172.16.113.207,64447,206.79.229.45,80,2108
04/16-15:19:11.720631 ,"TELNET connection attempt",172.16.113.207,64447,206.79.229.45,80,2110
04/16-15:19:11.721038 ,"TELNET connection attempt",172.16.113.207,64447,206.79.229.45,80,2111
04/16-15:19:11.730240 ,"TELNET connection attempt",172.16.113.207,64448,199.95.209.99,80,2116
04/16-15:19:11.734448 ,"TELNET connection attempt",172.16.113.207,64448,199.95.209.99,80,2117
04/16-15:19:11.734816 ,"TELNET connection attempt",172.16.113.207,64448,199.95.209.99,80,2118
04/16-15:19:11.764821 ,"TELNET connection attempt",172.16.113.207,64448,199.95.209.99,80,2121
04/16-15:19:11.765201 ,"TELNET connection attempt",172.16.113.207,64448,199.95.209.99,80,2122
04/16-15:19:11.771410 ,"TELNET connection attempt",172.16.113.207,64449,199.95.209.99,80,2126
04/16-15:19:11.775631 ,"TELNET connection attempt",172.16.113.207,64449,199.95.209.99,80,2127
04/16-15:19:11.775998 ,"TELNET connection attempt",172.16.113.207,64449,199.95.209.99,80,2128
04/16-15:19:11.794027 ,"TELNET connection attempt",172.16.113.207,64449,199.95.209.99,80,2132
04/16-15:19:11.794482 ,"TELNET connection attempt",172.16.113.207,64449,199.95.209.99,80,2133
04/16-15:19:11.799593 ,"TELNET connection attempt",172.16.113.207,64450,206.79.229.44,80,2137
04/16-15:19:11.802163 ,"TELNET connection attempt",172.16.113.207,64450,206.79.229.44,80,2138
04/16-15:19:11.803045 ,"TELNET connection attempt",172.16.113.207,64450,206.79.229.44,80,2139
04/16-15:19:11.833123 ,"TELNET connection attempt",172.16.113.207,64450,206.79.229.44,80,2144
04/16-15:19:11.838484 ,"TELNET connection attempt",172.16.113.207,64450,206.79.229.44,80,2146
04/16-15:19:11.839175 ,"TELNET connection attempt",172.16.113.207,64450,206.79.229.44,80,2147
04/16-15:19:11.845904 ,"TELNET connection attempt",172.16.113.207,64451,206.79.229.16,80,2151
04/16-15:19:11.850563 ,"TELNET connection attempt",172.16.113.207,64451,206.79.229.16,80,2152
04/16-15:19:11.850921 ,"TELNET connection attempt",172.16.113.207,64451,206.79.229.16,80,2153
04/16-15:19:11.923684 ,"TELNET connection attempt",172.16.113.207,64451,206.79.229.16,80,2156
04/16-15:19:11.924089 ,"TELNET connection attempt",172.16.113.207,64451,206.79.229.16,80,2157
04/16-15:19:11.941564 ,"TELNET connection attempt",172.16.113.207,64452,206.79.229.16,80,2161
04/16-15:19:11.946224 ,"TELNET connection attempt",172.16.113.207,64452,206.79.229.16,80,2162
04/16-15:19:11.946589 ,"TELNET connection attempt",172.16.113.207,64452,206.79.229.16,80,2163
04/16-15:19:11.973161 ,"TELNET connection attempt",172.16.113.207,64452,206.79.229.16,80,2166
04/16-15:19:11.983279 ,"TELNET connection attempt",172.16.113.207,64452,206.79.229.16,80,2170
04/16-15:19:11.991766 ,"TELNET connection attempt",172.16.113.207,64452,206.79.229.16,80,2172
04/16-15:19:11.992164 ,"TELNET connection attempt",172.16.113.207,64452,206.79.229.16,80,2173
04/16-15:19:12.957775 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,2200
04/16-15:19:12.960022 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,2202
04/16-15:19:13.082338 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,2213
04/16-15:19:13.282291 ,"FTP connection attempt",172.16.112.50,64376,197.218.177.69,21,2220
04/16-15:19:20.208697 ,"TELNET connection attempt",172.16.113.207,64454,204.168.91.11,80,2341
04/16-15:19:20.214321 ,"TELNET connection attempt",172.16.113.207,64454,204.168.91.11,80,2342
04/16-15:19:20.214612 ,"TELNET connection attempt",172.16.113.207,64454,204.168.91.11,80,2343
04/16-15:19:20.235885 ,"TELNET connection attempt",172.16.113.207,64454,204.168.91.11,80,2345
04/16-15:19:20.236263 ,"TELNET connection attempt",172.16.113.207,64454,204.168.91.11,80,2346
04/16-15:19:32.139696 ,"TELNET connection attempt",172.16.112.194,64455,134.205.165.120,80,2462
04/16-15:19:32.144692 ,"TELNET connection attempt",172.16.112.194,64455,134.205.165.120,80,2463
04/16-15:19:32.144935 ,"TELNET connection attempt",172.16.112.194,64455,134.205.165.120,80,2464
04/16-15:19:32.173390 ,"TELNET connection attempt",172.16.112.194,64455,134.205.165.120,80,2467
04/16-15:19:32.180874 ,"TELNET connection attempt",172.16.112.194,64455,134.205.165.120,80,2469
04/16-15:19:32.181279 ,"TELNET connection attempt",172.16.112.194,64455,134.205.165.120,80,2470
04/16-15:19:32.198225 ,"TELNET connection attempt",172.16.112.194,64456,134.205.165.120,80,2474
04/16-15:19:32.203115 ,"TELNET connection attempt",172.16.112.194,64456,134.205.165.120,80,2475
04/16-15:19:32.203444 ,"TELNET connection attempt",172.16.112.194,64456,134.205.165.120,80,2476
04/16-15:19:32.243389 ,"TELNET connection attempt",172.16.112.194,64456,134.205.165.120,80,2482
