03/07-12:26:15.506681 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,49212
03/07-12:27:56.074700 ,"BAD-TRAFFIC loopback traffic",127.144.81.98,36822,131.84.1.31,29774
03/07-12:27:56.118931 ,"BAD-TRAFFIC loopback traffic",127.17.173.217,37042,131.84.1.31,22570
03/07-12:27:56.122641 ,"BAD-TRAFFIC loopback traffic",127.17.139.100,37095,131.84.1.31,4242
03/07-12:27:56.124331 ,"BAD-TRAFFIC loopback traffic",127.70.222.123,37119,131.84.1.31,7173
03/07-12:27:56.125830 ,"BAD-TRAFFIC loopback traffic",127.14.252.97,37133,131.84.1.31,13115
03/07-12:27:56.152349 ,"BAD-TRAFFIC loopback traffic",127.16.218.30,37357,131.84.1.31,11253
03/07-12:27:56.214326 ,"BAD-TRAFFIC loopback traffic",127.114.146.130,37584,131.84.1.31,25371
03/07-12:27:56.217467 ,"BAD-TRAFFIC loopback traffic",127.86.199.143,37629,131.84.1.31,21966
03/07-12:27:56.227147 ,"BAD-TRAFFIC loopback traffic",127.194.66.94,37767,131.84.1.31,8555
03/07-12:27:56.227902 ,"BAD-TRAFFIC loopback traffic",127.238.92.12,37777,131.84.1.31,3881
03/07-12:27:56.235264 ,"BAD-TRAFFIC loopback traffic",127.164.17.230,37883,131.84.1.31,4327
03/07-12:27:56.277774 ,"BAD-TRAFFIC loopback traffic",127.151.251.165,38039,131.84.1.31,21103
03/07-12:27:56.288451 ,"BAD-TRAFFIC loopback traffic",127.145.9.97,38187,131.84.1.31,15933
03/07-12:27:56.325192 ,"BAD-TRAFFIC loopback traffic",127.130.26.251,38471,131.84.1.31,19304
03/07-12:27:56.338954 ,"BAD-TRAFFIC loopback traffic",127.229.55.144,38562,131.84.1.31,21375
03/07-12:27:56.407165 ,"BAD-TRAFFIC loopback traffic",127.52.22.44,38837,131.84.1.31,28336
03/07-12:27:56.409054 ,"BAD-TRAFFIC loopback traffic",127.159.51.64,38864,131.84.1.31,24149
03/07-12:27:56.409195 ,"BAD-TRAFFIC loopback traffic",127.16.242.53,38866,131.84.1.31,24409
