"1","2000-03-07 08:26:15","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","49212","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"118","2000-03-07 08:27:53","131.84.1.31","127.165.216.3","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6783","20408","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"119","2000-03-07 08:27:53","131.84.1.31","127.176.6.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","5809","20506","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"120","2000-03-07 08:27:53","131.84.1.31","127.16.127.153","Tidak menggunakan ICMP","Tidak menggunakan ICMP","9313","20554","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"121","2000-03-07 08:27:53","131.84.1.31","127.53.249.134","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25787","20771","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"122","2000-03-07 08:27:53","131.84.1.31","127.209.56.205","Tidak menggunakan ICMP","Tidak menggunakan ICMP","22850","20833","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"123","2000-03-07 08:27:53","131.84.1.31","127.146.215.206","Tidak menggunakan ICMP","Tidak menggunakan ICMP","22363","21100","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"124","2000-03-07 08:27:53","131.84.1.31","127.152.62.7","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27756","21284","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"125","2000-03-07 08:27:53","131.84.1.31","127.239.36.89","Tidak menggunakan ICMP","Tidak menggunakan ICMP","15639","21300","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"126","2000-03-07 08:27:53","131.84.1.31","127.225.63.39","Tidak menggunakan ICMP","Tidak menggunakan ICMP","28129","21338","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"127","2000-03-07 08:27:53","131.84.1.31","127.179.98.180","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21434","21389","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"128","2000-03-07 08:27:53","131.84.1.31","127.182.21.240","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21658","21449","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"129","2000-03-07 08:27:53","131.84.1.31","127.71.160.44","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29542","21527","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"130","2000-03-07 08:27:53","131.84.1.31","127.227.9.165","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13208","21585","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"131","2000-03-07 08:27:53","131.84.1.31","127.158.57.191","Tidak menggunakan ICMP","Tidak menggunakan ICMP","26791","21720","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"132","2000-03-07 08:27:53","131.84.1.31","127.201.162.238","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25359","21743","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"133","2000-03-07 08:27:53","131.84.1.31","127.229.136.173","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19229","21759","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"134","2000-03-07 08:27:53","131.84.1.31","127.172.197.211","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19302","22113","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"135","2000-03-07 08:27:53","131.84.1.31","127.251.221.119","Tidak menggunakan ICMP","Tidak menggunakan ICMP","5214","22380","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"136","2000-03-07 08:27:53","131.84.1.31","127.101.72.243","Tidak menggunakan ICMP","Tidak menggunakan ICMP","20888","22536","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"137","2000-03-07 08:27:53","131.84.1.31","127.93.55.203","Tidak menggunakan ICMP","Tidak menggunakan ICMP","5678","22580","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"138","2000-03-07 08:27:53","131.84.1.31","127.151.88.233","Tidak menggunakan ICMP","Tidak menggunakan ICMP","18550","23090","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"139","2000-03-07 08:27:53","131.84.1.31","127.231.200.67","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24528","23275","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"140","2000-03-07 08:27:54","131.84.1.31","127.167.16.113","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25781","23593","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"141","2000-03-07 08:27:54","131.84.1.31","127.174.104.79","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7053","24015","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"142","2000-03-07 08:27:54","131.84.1.31","127.202.55.61","Tidak menggunakan ICMP","Tidak menggunakan ICMP","3258","24086","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"143","2000-03-07 08:27:54","131.84.1.31","127.6.240.245","Tidak menggunakan ICMP","Tidak menggunakan ICMP","9470","24320","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"144","2000-03-07 08:27:54","131.84.1.31","127.203.23.45","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24858","24357","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"145","2000-03-07 08:27:54","131.84.1.31","127.83.254.157","Tidak menggunakan ICMP","Tidak menggunakan ICMP","11957","24387","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"146","2000-03-07 08:27:54","131.84.1.31","127.9.207.77","Tidak menggunakan ICMP","Tidak menggunakan ICMP","15288","24450","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"147","2000-03-07 08:27:54","131.84.1.31","127.63.82.145","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2430","24517","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"148","2000-03-07 08:27:54","131.84.1.31","127.25.65.84","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2616","24783","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"149","2000-03-07 08:27:54","131.84.1.31","127.90.178.70","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29910","24864","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"150","2000-03-07 08:27:54","131.84.1.31","127.188.12.157","Tidak menggunakan ICMP","Tidak menggunakan ICMP","15607","24956","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"151","2000-03-07 08:27:54","131.84.1.31","127.124.199.23","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31367","25110","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"152","2000-03-07 08:27:54","131.84.1.31","127.225.145.192","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30153","25198","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"153","2000-03-07 08:27:54","131.84.1.31","127.6.176.200","Tidak menggunakan ICMP","Tidak menggunakan ICMP","14045","25225","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"154","2000-03-07 08:27:54","131.84.1.31","127.151.232.78","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16375","25234","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"155","2000-03-07 08:27:54","131.84.1.31","127.7.96.78","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6265","25470","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"156","2000-03-07 08:27:54","131.84.1.31","127.52.53.182","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4193","25519","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"157","2000-03-07 08:27:54","131.84.1.31","127.232.120.153","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31835","25634","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"158","2000-03-07 08:27:54","131.84.1.31","127.167.54.113","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16848","25643","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"159","2000-03-07 08:27:54","131.84.1.31","127.178.89.150","Tidak menggunakan ICMP","Tidak menggunakan ICMP","14658","25818","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"160","2000-03-07 08:27:54","131.84.1.31","54.236.202.91","Tidak menggunakan ICMP","Tidak menggunakan ICMP","705","25829","Tidak menggunakan UDP","Tidak menggunakan UDP","SNMP AgentX/tcp request","attempted-recon"
"161","2000-03-07 08:27:54","131.84.1.31","127.65.132.229","Tidak menggunakan ICMP","Tidak menggunakan ICMP","28316","25908","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"162","2000-03-07 08:27:54","131.84.1.31","127.133.239.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6734","25989","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"163","2000-03-07 08:27:54","131.84.1.31","127.182.246.39","Tidak menggunakan ICMP","Tidak menggunakan ICMP","11329","26115","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"164","2000-03-07 08:27:54","131.84.1.31","127.57.1.78","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25344","26312","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"165","2000-03-07 08:27:54","131.84.1.31","127.130.142.248","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21571","26561","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"166","2000-03-07 08:27:54","131.84.1.31","127.240.11.18","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2198","26673","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"167","2000-03-07 08:27:54","131.84.1.31","127.158.189.126","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29337","27080","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"168","2000-03-07 08:27:54","131.84.1.31","127.131.56.206","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7040","27229","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"169","2000-03-07 08:27:54","131.84.1.31","127.170.84.62","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4779","27322","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"170","2000-03-07 08:27:54","131.84.1.31","127.248.104.241","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16785","27469","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"171","2000-03-07 08:27:54","131.84.1.31","127.181.191.132","Tidak menggunakan ICMP","Tidak menggunakan ICMP","14449","27565","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"172","2000-03-07 08:27:54","131.84.1.31","127.10.18.253","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29924","27628","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"173","2000-03-07 08:27:54","131.84.1.31","127.195.29.203","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31611","27930","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"174","2000-03-07 08:27:54","131.84.1.31","127.83.112.140","Tidak menggunakan ICMP","Tidak menggunakan ICMP","8534","28011","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"175","2000-03-07 08:27:54","131.84.1.31","127.1.52.209","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27902","28046","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"176","2000-03-07 08:27:54","131.84.1.31","127.128.48.225","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29338","28176","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"177","2000-03-07 08:27:54","131.84.1.31","127.245.208.190","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24436","28179","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"178","2000-03-07 08:27:54","131.84.1.31","127.101.188.85","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13200","28278","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"179","2000-03-07 08:27:54","131.84.1.31","127.200.52.52","Tidak menggunakan ICMP","Tidak menggunakan ICMP","1738","28314","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"180","2000-03-07 08:27:54","131.84.1.31","127.141.125.122","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13038","28481","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"181","2000-03-07 08:27:54","131.84.1.31","127.126.227.188","Tidak menggunakan ICMP","Tidak menggunakan ICMP","8305","28576","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"182","2000-03-07 08:27:54","131.84.1.31","127.82.208.41","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31614","28617","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"183","2000-03-07 08:27:54","131.84.1.31","127.95.55.83","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21592","28619","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"184","2000-03-07 08:27:54","131.84.1.31","127.17.236.123","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24918","28665","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"185","2000-03-07 08:27:54","131.84.1.31","127.126.130.42","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24402","28747","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"186","2000-03-07 08:27:54","131.84.1.31","127.178.83.188","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2294","28779","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"187","2000-03-07 08:27:54","131.84.1.31","127.27.152.112","Tidak menggunakan ICMP","Tidak menggunakan ICMP","3586","28851","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"188","2000-03-07 08:27:54","131.84.1.31","127.8.30.194","Tidak menggunakan ICMP","Tidak menggunakan ICMP","9701","28998","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"189","2000-03-07 08:27:54","131.84.1.31","127.216.250.80","Tidak menggunakan ICMP","Tidak menggunakan ICMP","20054","29290","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"190","2000-03-07 08:27:54","131.84.1.31","127.45.128.194","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16671","29305","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"191","2000-03-07 08:27:54","131.84.1.31","127.63.92.55","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6160","29763","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"192","2000-03-07 08:27:54","131.84.1.31","127.219.9.179","Tidak menggunakan ICMP","Tidak menggunakan ICMP","11679","29813","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"193","2000-03-07 08:27:54","131.84.1.31","127.255.33.30","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21142","29844","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"194","2000-03-07 08:27:55","131.84.1.31","127.162.76.116","Tidak menggunakan ICMP","Tidak menggunakan ICMP","425","29924","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"195","2000-03-07 08:27:55","131.84.1.31","127.84.81.30","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6823","29952","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"196","2000-03-07 08:27:55","131.84.1.31","127.53.238.16","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2911","30075","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"197","2000-03-07 08:27:55","131.84.1.31","127.47.4.135","Tidak menggunakan ICMP","Tidak menggunakan ICMP","32537","30327","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"198","2000-03-07 08:27:55","131.84.1.31","127.233.20.35","Tidak menggunakan ICMP","Tidak menggunakan ICMP","26324","30526","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"199","2000-03-07 08:27:55","131.84.1.31","127.158.251.150","Tidak menggunakan ICMP","Tidak menggunakan ICMP","15345","30724","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"200","2000-03-07 08:27:55","131.84.1.31","127.44.207.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6300","30825","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"201","2000-03-07 08:27:55","131.84.1.31","127.123.78.74","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12618","31095","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"202","2000-03-07 08:27:55","131.84.1.31","127.124.106.160","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27853","31184","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"203","2000-03-07 08:27:55","131.84.1.31","127.24.80.232","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24826","31253","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"204","2000-03-07 08:27:55","131.84.1.31","127.64.83.204","Tidak menggunakan ICMP","Tidak menggunakan ICMP","3913","31297","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"205","2000-03-07 08:27:55","131.84.1.31","127.126.211.251","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30367","31342","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"206","2000-03-07 08:27:55","131.84.1.31","127.57.94.240","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7805","31427","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"207","2000-03-07 08:27:55","131.84.1.31","127.72.166.133","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6409","31500","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"208","2000-03-07 08:27:55","131.84.1.31","127.135.253.127","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2411","31720","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"209","2000-03-07 08:27:55","131.84.1.31","127.209.174.52","Tidak menggunakan ICMP","Tidak menggunakan ICMP","14818","31767","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"210","2000-03-07 08:27:55","131.84.1.31","127.101.59.58","Tidak menggunakan ICMP","Tidak menggunakan ICMP","20453","31785","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"211","2000-03-07 08:27:55","131.84.1.31","127.81.75.253","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6840","31821","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"212","2000-03-07 08:27:55","131.84.1.31","127.174.111.194","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16076","31930","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"213","2000-03-07 08:27:55","131.84.1.31","127.146.182.136","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12176","32062","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"214","2000-03-07 08:27:55","131.84.1.31","127.103.170.64","Tidak menggunakan ICMP","Tidak menggunakan ICMP","14687","32227","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"215","2000-03-07 08:27:55","131.84.1.31","127.183.79.123","Tidak menggunakan ICMP","Tidak menggunakan ICMP","15250","32797","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"216","2000-03-07 08:27:55","131.84.1.31","127.3.250.154","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12756","32924","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"217","2000-03-07 08:27:55","131.84.1.31","127.207.199.133","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27752","32959","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"218","2000-03-07 08:27:55","131.84.1.31","127.58.74.237","Tidak menggunakan ICMP","Tidak menggunakan ICMP","5588","33018","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"219","2000-03-07 08:27:55","131.84.1.31","127.108.202.5","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6547","33034","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"220","2000-03-07 08:27:55","131.84.1.31","127.91.197.133","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30949","33123","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"221","2000-03-07 08:27:55","131.84.1.31","127.45.73.200","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4093","33403","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"222","2000-03-07 08:27:55","131.84.1.31","127.112.96.165","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24405","33438","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"223","2000-03-07 08:27:55","131.84.1.31","127.233.155.222","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25833","33474","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"224","2000-03-07 08:27:55","131.84.1.31","127.128.218.210","Tidak menggunakan ICMP","Tidak menggunakan ICMP","8185","33702","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"225","2000-03-07 08:27:55","131.84.1.31","115.166.137.80","Tidak menggunakan ICMP","Tidak menggunakan ICMP","0","33705","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC tcp port 0 traffic","misc-activity"
"226","2000-03-07 08:27:55","131.84.1.31","127.253.37.56","Tidak menggunakan ICMP","Tidak menggunakan ICMP","852","33825","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"227","2000-03-07 08:27:55","131.84.1.31","127.15.221.243","Tidak menggunakan ICMP","Tidak menggunakan ICMP","22484","33948","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"228","2000-03-07 08:27:55","131.84.1.31","127.205.151.139","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19252","33992","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"229","2000-03-07 08:27:55","131.84.1.31","127.103.205.2","Tidak menggunakan ICMP","Tidak menggunakan ICMP","28856","34069","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"230","2000-03-07 08:27:55","131.84.1.31","40.150.29.185","Tidak menggunakan ICMP","Tidak menggunakan ICMP","705","34203","Tidak menggunakan UDP","Tidak menggunakan UDP","SNMP AgentX/tcp request","attempted-recon"
"231","2000-03-07 08:27:55","131.84.1.31","127.119.234.29","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12442","34258","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"232","2000-03-07 08:27:55","131.84.1.31","127.136.243.202","Tidak menggunakan ICMP","Tidak menggunakan ICMP","17717","34385","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"233","2000-03-07 08:27:55","131.84.1.31","127.58.6.11","Tidak menggunakan ICMP","Tidak menggunakan ICMP","17051","34526","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"234","2000-03-07 08:27:55","131.84.1.31","127.215.166.74","Tidak menggunakan ICMP","Tidak menggunakan ICMP","20333","34589","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
